2026-08-04 14:16:20,577 | INFO | Ассистент запущен
2026-08-04 14:16:20,578 | INFO | База данных создана
2026-08-04 14:16:20,746 | INFO | Получено товаров: 1
2026-08-04 14:16:20,750 | INFO | Анализ товаров завершён
2026-08-04 14:17:49,285 | INFO | Ассистент запущен
2026-08-04 14:17:49,290 | INFO | База данных создана
2026-08-04 14:17:49,447 | INFO | Получено товаров: 1
2026-08-04 14:17:49,451 | INFO | Анализ товаров завершён
2026-08-04 14:23:48,391 | INFO | Ассистент запущен
2026-08-04 14:23:48,393 | INFO | База данных создана
2026-08-04 14:23:48,568 | INFO | Получено товаров: 1
2026-08-04 14:23:48,670 | ERROR | Ozon API ошибка 404: 404 page not found

2026-08-04 14:23:48,672 | INFO | Сбор метрик завершён
2026-08-04 14:25:23,372 | INFO | Ассистент запущен
2026-08-04 14:25:23,376 | INFO | База данных создана
2026-08-04 14:25:23,545 | INFO | Получено товаров: 1
2026-08-04 14:25:23,676 | ERROR | Ozon API ошибка 404: 404 page not found

2026-08-04 14:25:23,678 | INFO | Сбор метрик завершён
2026-08-04 14:26:20,602 | INFO | Ассистент запущен
2026-08-04 14:26:20,606 | INFO | База данных создана
2026-08-04 14:26:20,745 | INFO | Получено товаров: 1
2026-08-04 14:26:20,853 | ERROR | Ozon API ошибка 404: 404 page not found

2026-08-04 14:26:20,854 | INFO | Сбор метрик завершён
2026-08-04 14:27:43,015 | INFO | Ассистент запущен
2026-08-04 14:27:43,019 | INFO | База данных создана
2026-08-04 14:27:43,163 | INFO | Получено товаров: 1
2026-08-04 14:27:43,299 | INFO | Сбор метрик завершён
2026-08-04 14:29:13,335 | INFO | Ассистент запущен
2026-08-04 14:29:13,338 | INFO | База данных создана
2026-08-04 14:29:13,512 | INFO | Получено товаров: 1
2026-08-04 14:29:13,643 | INFO | Сбор метрик завершён
2026-08-04 14:31:43,034 | INFO | Ассистент запущен
2026-08-04 14:31:43,035 | INFO | База данных создана
2026-08-04 14:31:43,182 | INFO | Получено товаров: 1
2026-08-04 14:31:43,365 | INFO | Сбор метрик завершён
2026-08-04 14:35:31,605 | ERROR | Ошибка загрузки товаров: UNIQUE constraint failed: products.id
2026-08-04 14:36:19,723 | INFO | Сбор метрик завершён
2026-08-04 14:37:33,482 | INFO | Сбор метрик завершён
2026-08-04 14:43:31,056 | INFO | Сбор метрик завершён
2026-08-04 14:45:46,245 | INFO | AI анализ завершён
2026-08-04 14:47:13,645 | INFO | AI анализ завершён
2026-08-04 14:48:48,643 | INFO | AI анализ завершён
2026-08-04 14:51:52,835 | INFO | AI анализ и оценка риска завершены
2026-08-04 14:53:46,551 | INFO | AI анализ и риск сохранены
2026-08-04 14:58:31,289 | INFO | AI анализ завершён
2026-08-04 15:00:39,582 | INFO | Отчёт создан
2026-08-04 15:13:32,776 | INFO | Отчёты сохранены
2026-08-04 15:14:04,446 | INFO | Отчёты сохранены
2026-08-04 15:15:57,246 | INFO | Рекомендации сформированы
2026-08-04 15:17:24,408 | INFO | План действий создан
2026-08-04 15:19:30,459 | INFO | Цикл анализа завершён
2026-08-04 15:22:09,382 | INFO | История действий обновлена
2026-08-04 15:23:03,829 | INFO | История действий обновлена
2026-08-04 15:23:43,710 | INFO | История действий обновлена
2026-08-04 15:37:32,324 | INFO | Статусы действий обновлены
2026-08-04 15:39:23,349 | INFO | Статусы действий обновлены
2026-08-04 15:46:16,127 | INFO | Статусы действий обновлены
2026-08-04 15:49:51,782 | INFO | Монитор действий выполнен
2026-08-04 15:52:30,113 | INFO | Полный цикл анализа завершён
2026-08-04 15:55:06,137 | INFO | Полный AI анализ завершён
2026-08-04 15:59:04,125 | INFO | Полный AI анализ завершён
2026-08-04 16:06:26,780 | INFO | Полный AI анализ завершён
